symbol,computed_at,overall_score,profitability_score,growth_score,leverage_score,cashflow_score,dividend_score,trend_score,health_label
SUNPHARMA,2026-05-26 03:35:11.145405+00:00,47.54,48.25699361077534,3.1746031746031744,99.74969873541116,74.24764973588428,37.5,0.0,WEAK
SUNPHARMA,2026-05-26 03:35:06,47.54,48.25699361077534,3.1746031746031744,99.74969873541116,74.24764973588428,37.5,0.0,WEAK
TATACONSUM,2026-05-26 03:35:11.145405+00:00,47.09,48.24296321878778,3.1746031746031744,98.96112928283094,66.76679148368558,45.83333333333333,0.0,WEAK
TATACONSUM,2026-05-26 03:35:06,47.09,48.24296321878778,3.1746031746031744,98.96112928283094,66.76679148368558,45.83333333333333,0.0,WEAK
TATAMOTORS,2026-05-26 03:35:11.145405+00:00,48.75,48.24188395786565,3.1746031746031744,92.90869963094464,96.50881329126025,30.0,0.0,WEAK
TATAMOTORS,2026-05-26 03:35:06,48.75,48.24188395786565,3.1746031746031744,92.90869963094464,96.50881329126024,30.0,0.0,WEAK
TATAPOWER,2026-05-26 03:35:11.145405+00:00,44.01,48.245121740632015,3.1746031746031744,88.3543122456095,69.10378648667664,32.77777777777778,0.0,WEAK
TATAPOWER,2026-05-26 03:35:06,44.01,48.245121740632015,3.1746031746031744,88.3543122456095,69.10378648667664,32.77777777777778,0.0,WEAK
TATASTEEL,2026-05-26 03:35:11.145405+00:00,41.82,48.23756691417717,3.1746031746031744,92.58408841811494,70.73366849559294,0.0,0.0,WEAK
TATASTEEL,2026-05-26 03:35:06,41.82,48.23756691417717,3.1746031746031744,92.58408841811494,70.73366849559294,0.0,0.0,WEAK
TCS,2026-05-26 03:35:11.145405+00:00,70.25,48.25591434985322,44.44444444444444,99.4005177517344,100.0,44.166666666666664,100.0,GOOD
TCS,2026-05-26 03:35:06,70.25,48.25591434985322,44.44444444444444,99.4005177517344,100.0,44.16666666666666,100.0,GOOD
TECHM,2026-05-26 03:35:11.145405+00:00,50.08,48.23648765325505,3.1746031746031744,99.48243033780437,70.08538407643832,69.72222222222221,0.0,AVERAGE
TECHM,2026-05-26 03:35:06,50.08,48.23648765325505,3.1746031746031744,99.48243033780436,70.08538407643832,69.72222222222221,0.0,AVERAGE
TITAN,2026-05-26 03:35:11.145405+00:00,43.45,48.23756691417717,3.1746031746031744,85.04447697057145,67.74190995725512,35.833333333333336,0.0,WEAK
TITAN,2026-05-26 03:35:06,43.45,48.23756691417717,3.1746031746031744,85.04447697057147,67.74190995725512,35.833333333333336,0.0,WEAK
TORNTPHARM,2026-05-26 03:35:11.145405+00:00,46.85,48.2602313935417,3.1746031746031744,97.19625629888864,68.79786360965826,43.888888888888886,0.0,WEAK
